地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/06/26,00:03:31.2,福島県沖,37°49.0′N,141°36.0′E,48 km,0.9,---
2023/06/26,00:04:15.0,愛知県西部,34°56.0′N,137°25.0′E,39 km,0.1,---
2023/06/26,00:05:20.4,石川県能登地方,37°29.0′N,137°10.0′E,12 km,0.2,---
2023/06/26,00:06:50.7,宮城県沖,38°7.0′N,142°41.0′E,19 km,1.1,---
2023/06/26,00:11:17.7,岐阜県美濃中西部,35°36.0′N,136°40.0′E,9 km,-10.2,---
2023/06/26,00:11:33.6,青森県西方沖,40°36.0′N,139°19.0′E,11 km,1.3,---
2023/06/26,00:12:58.8,沖縄本島近海,26°29.0′N,129°3.0′E,34 km,1.6,---
2023/06/26,00:13:49.5,浦河沖,41°53.0′N,142°33.0′E,56 km,0.8,---
2023/06/26,00:14:16.2,島根県西部,34°53.0′N,132°14.0′E,11 km,-10.2,---
2023/06/26,00:15:12.6,薩摩半島西方沖,31°4.0′N,130°19.0′E,152 km,2.2,---
2023/06/26,00:17:07.0,宮城県北部,38°53.0′N,141°40.0′E,65 km,0,---
2023/06/26,00:17:40.1,長野県南部,35°52.0′N,137°40.0′E,12 km,0.1,---
2023/06/26,00:19:26.2,長野県北部,36°33.0′N,137°47.0′E,0 km,-10.3,---
2023/06/26,00:22:33.5,福島県会津,37°46.0′N,140°3.0′E,7 km,1.5,---
2023/06/26,00:22:41.2,能登半島沖,37°31.0′N,137°12.0′E,14 km,0,---
2023/06/26,00:24:17.9,長野県南部,35°52.0′N,137°40.0′E,11 km,0.3,---
2023/06/26,00:26:28.3,石川県能登地方,37°28.0′N,137°16.0′E,10 km,0.9,---
2023/06/26,00:29:46.5,福井県嶺北,35°45.0′N,136°18.0′E,10 km,0.1,---
2023/06/26,00:31:30.0,能登半島沖,37°31.0′N,137°15.0′E,13 km,0.4,---
2023/06/26,00:33:31.9,静岡県中部,35°9.0′N,138°1.0′E,44 km,-10.2,---
2023/06/26,00:34:29.3,石川県能登地方,37°27.0′N,137°11.0′E,10 km,0.3,---
2023/06/26,00:34:36.5,茨城県北部,36°49.0′N,140°32.0′E,8 km,0.1,---
2023/06/26,00:35:34.4,千葉県東方沖,35°45.0′N,141°19.0′E,14 km,1.6,---
2023/06/26,00:36:19.5,能登半島沖,37°35.0′N,137°14.0′E,8 km,0.3,---
2023/06/26,00:36:49.3,千葉県東方沖,35°38.0′N,140°41.0′E,48 km,1.2,---
2023/06/26,00:37:05.1,和歌山県南部,33°46.0′N,135°35.0′E,21 km,0.2,---
2023/06/26,00:37:56.4,宮城県沖,38°52.0′N,142°26.0′E,34 km,1.1,---
2023/06/26,00:38:21.6,長野県北部,36°33.0′N,137°47.0′E,3 km,0.4,---
2023/06/26,00:38:34.8,青森県西方沖,40°37.0′N,139°8.0′E,12 km,1.6,---
2023/06/26,00:39:27.4,富山湾,37°24.0′N,137°21.0′E,5 km,1,---
2023/06/26,00:42:31.4,宮古島近海,24°45.0′N,125°16.0′E,45 km,1.3,---
2023/06/26,00:43:31.3,紀伊水道,33°53.0′N,134°53.0′E,37 km,0.1,---
2023/06/26,00:45:31.7,茨城県沖,36°8.0′N,141°58.0′E,10 km,1.6,---
2023/06/26,00:48:14.4,浦河沖,41°52.0′N,143°4.0′E,42 km,0.2,---
2023/06/26,00:49:17.7,能登半島沖,37°35.0′N,137°17.0′E,12 km,0.1,---
2023/06/26,00:49:27.7,岐阜県飛騨地方,36°3.0′N,137°26.0′E,4 km,0,---
2023/06/26,00:51:53.9,和歌山県北部,34°8.0′N,135°14.0′E,8 km,0.3,---
2023/06/26,00:53:20.6,福島県沖,37°42.0′N,142°19.0′E,25 km,1.2,---
2023/06/26,00:56:09.7,千葉県北西部,35°52.0′N,140°28.0′E,38 km,0.7,---
2023/06/26,00:56:43.8,青森県西方沖,40°58.0′N,139°14.0′E,24 km,0.7,---
2023/06/26,00:59:12.5,長野県北部,36°34.0′N,137°52.0′E,8 km,-10.4,---
2023/06/26,01:01:33.1,長野県北部,36°33.0′N,137°47.0′E,1 km,-10.3,---
2023/06/26,01:02:31.8,房総半島南方沖,34°18.0′N,140°33.0′E,37 km,1.3,---
2023/06/26,01:07:34.4,遠州灘,34°8.0′N,137°40.0′E,42 km,1.7,---
2023/06/26,01:09:30.3,紀伊水道,34°9.0′N,135°6.0′E,8 km,0.4,---
2023/06/26,01:10:01.9,秋田県内陸南部,39°43.0′N,140°36.0′E,4 km,-10.3,---
2023/06/26,01:10:21.8,宮城県沖,37°55.0′N,141°49.0′E,51 km,1.4,---
2023/06/26,01:17:04.3,熊本県熊本地方,32°34.0′N,130°56.0′E,10 km,0.4,---
2023/06/26,01:17:54.7,関東東方沖,36°52.0′N,144°33.0′E,48 km,1.6,---
2023/06/26,01:20:17.7,茨城県南部,36°7.0′N,139°51.0′E,56 km,1.8,---
2023/06/26,01:23:05.3,日向灘,31°49.0′N,131°52.0′E,17 km,0.7,---
2023/06/26,01:25:18.1,愛知県東部,34°53.0′N,137°30.0′E,34 km,0.3,---
2023/06/26,01:25:31.6,能登半島沖,37°32.0′N,137°13.0′E,6 km,-10.2,---
2023/06/26,01:28:13.8,日高地方中部,42°18.0′N,142°38.0′E,52 km,0.6,---
2023/06/26,01:29:42.6,トカラ列島近海,29°47.0′N,130°15.0′E,9 km,1.2,---
2023/06/26,01:29:55.0,新潟県下越沖,38°4.0′N,139°10.0′E,24 km,0.3,---
2023/06/26,01:30:42.3,和歌山県南部,33°31.0′N,135°43.0′E,21 km,0.3,---
2023/06/26,01:32:58.9,福岡県筑後地方,33°6.0′N,130°34.0′E,13 km,-10.2,---
2023/06/26,01:34:25.5,長野県北部,36°33.0′N,137°47.0′E,0 km,0.1,---
2023/06/26,01:35:38.6,長野県北部,36°33.0′N,137°47.0′E,1 km,0.4,---
2023/06/26,01:35:52.6,滋賀県北部,35°19.0′N,135°60.0′E,14 km,0.8,---
2023/06/26,01:35:57.6,沖縄本島北西沖,27°39.0′N,126°50.0′E,27 km,2.2,---
2023/06/26,01:36:26.1,福島県沖,37°6.0′N,142°14.0′E,14 km,0.7,---
