地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/05/16 00:00:21.9,八丈島近海,33.36,139.35166666666666,16,2.5,-
2023/05/16 00:02:24.6,福島県沖,37.736666666666665,142.39166666666668,26,1,-
2023/05/16 00:02:28.1,石川県能登地方,37.513333333333335,137.225,12,0.1,-
2023/05/16 00:02:28.9,大阪府北部,34.93666666666667,135.45833333333334,10,0.3,-
2023/05/16 00:02:59.9,石川県能登地方,37.515,137.32333333333332,13,0.8,-
2023/05/16 00:04:56.7,石川県能登地方,37.515,137.29,14,0.2,-
2023/05/16 00:05:47.1,八丈島近海,33.37166666666667,139.35833333333332,13,2.7,-
2023/05/16 00:06:02.6,奄美大島近海,27.971666666666668,129.16333333333333,15,1.1,-
2023/05/16 00:06:30.8,能登半島沖,37.53333333333333,137.26166666666666,15,0.1,-
2023/05/16 00:08:15.1,奄美大島近海,28.19,130.32666666666665,44,1.5,-
2023/05/16 00:08:16.1,能登半島沖,37.54,137.20333333333335,7,0.8,-
2023/05/16 00:09:26.4,京都府南部,35.145,135.715,12,-10.1,-
2023/05/16 00:09:43.0,能登半島沖,37.57666666666667,137.33,9,0.2,-
2023/05/16 00:11:03.9,三陸沖,39.20333333333333,144.45,32,2,-
2023/05/16 00:11:27.3,能登半島沖,37.525,137.215,7,0.7,-
2023/05/16 00:12:18.9,兵庫県南東部,34.928333333333335,135.38333333333333,12,0.3,-
2023/05/16 00:13:02.5,能登半島沖,37.553333333333335,137.2,8,-10.3,-
2023/05/16 00:14:24.6,山梨県中・西部,35.39833333333333,138.46,17,0.5,-
2023/05/16 00:14:44.7,茨城県北部,36.803333333333335,140.55833333333334,10,0.5,-
2023/05/16 00:16:03.8,宮古島近海,24.785,125.31666666666666,45,1.2,-
2023/05/16 00:16:32.5,能登半島沖,37.53333333333333,137.33,13,-10.3,-
2023/05/16 00:16:33.8,秋田県内陸北部,40.02166666666667,140.45333333333335,6,0.4,-
2023/05/16 00:18:03.8,秋田県内陸北部,39.97833333333333,140.53833333333333,4,0.5,-
2023/05/16 00:18:13.2,山梨県中・西部,35.39666666666667,138.46166666666667,19,0.6,-
2023/05/16 00:18:35.3,浦河沖,41.873333333333335,143.02166666666668,42,1.6,-
2023/05/16 00:18:59.9,石川県能登地方,37.5,137.22833333333332,13,0.9,-
2023/05/16 00:19:47.5,奄美大島近海,27.983333333333334,129.40666666666667,29,1,-
2023/05/16 00:19:53.0,能登半島沖,37.57333333333333,137.375,9,0.2,-
2023/05/16 00:21:04.4,石川県能登地方,37.51166666666666,137.25,15,0.2,-
